key,date,value01risk,value02risk,value03risk,value04risk,value05risk,value06risk,value07risk,value01ind,value02ind,value03ind,value04ind,value05ind,value06ind,value07ind,deaths01,deaths02,deaths03,deaths04,deaths05,deaths06,deaths07,illnesses01,illnesses02,illnesses03,illnesses04,illnesses05,illnesses06,illnesses07,disruption01,disruption02,disruption03,disruption04,disruption05,disruption06,disruption07
heat,2083,87.3,66.5,123.3,60.2,97.7,74.3,113.2,0,0,0,0,0,0,0,72,52.5,99.3,47.3,78.2,58.9,91,168.3,122.9,232.2,110.6,182.9,137.9,212.9,5.84,4.03,7.82,3.6,6.11,4.55,7.15
heat,2084,88.7,67.1,125.3,60.8,98.4,74.9,114.1,0,0,0,0,0,0,0,73.2,53,101.1,47.8,78.9,59.5,91.8,171.2,124,236.4,111.8,184.5,139.1,214.8,5.93,4.06,7.95,3.63,6.15,4.58,7.2
heat,2085,90,67.6,127.3,61.4,99.2,75.5,115,0,0,0,0,0,0,0,74.4,53.5,102.8,48.3,79.6,60,92.7,174,125.2,240.6,113.1,186.2,140.4,216.7,6.02,4.09,8.08,3.67,6.2,4.61,7.25
heat,2086,91.3,68.1,129.3,62,99.9,76.1,115.8,0,0,0,0,0,0,0,75.7,54,104.7,48.9,80.3,60.6,93.5,177,126.3,244.8,114.3,187.9,141.7,218.7,6.11,4.12,8.21,3.7,6.24,4.65,7.3
heat,2087,92.7,68.7,131.3,62.6,100.7,76.7,116.7,0,0,0,0,0,0,0,76.9,54.5,106.5,49.4,81.1,61.2,94.3,179.9,127.5,249.1,115.6,189.6,143,220.7,6.2,4.15,8.34,3.74,6.29,4.68,7.36
heat,2088,94.1,69.2,133.4,63.2,101.5,77.3,117.6,0,0,0,0,0,0,0,78.2,55,108.3,50,81.8,61.7,95.2,182.9,128.7,253.4,116.9,191.4,144.4,222.7,6.29,4.18,8.47,3.77,6.33,4.72,7.41
heat,2089,95.5,69.8,135.5,63.8,102.2,77.9,118.5,0,0,0,0,0,0,0,79.5,55.5,110.2,50.5,82.6,62.3,96.1,185.9,129.9,257.8,118.2,193.1,145.7,224.7,6.39,4.21,8.6,3.81,6.38,4.75,7.47
heat,2090,96.9,70.4,137.6,64.4,103,78.5,119.4,0,0,0,0,0,0,0,80.8,56.1,112.1,51.1,83.3,62.9,96.9,189,131.1,262.2,119.5,194.9,147,226.8,6.48,4.24,8.74,3.84,6.43,4.79,7.52
heat,2091,98.3,70.9,139.7,65.1,103.8,79.1,120.3,0,0,0,0,0,0,0,82.1,56.6,114,51.7,84.1,63.5,97.8,192.1,132.3,266.7,120.9,196.7,148.4,228.8,6.58,4.27,8.87,3.88,6.47,4.82,7.58
heat,2092,99.7,71.5,141.8,65.7,104.6,79.8,121.2,0,0,0,0,0,0,0,83.5,57.1,116,52.3,84.8,64,98.7,195.2,133.6,271.3,122.2,198.5,149.8,230.9,6.68,4.3,9.01,3.91,6.52,4.86,7.63
